hypothesis,claim,test,estimate,interval,p,n,rule,rule_met,prediction_short,test_short,result_short
H1a,"harmful flip rate q4_K_M > fp16 (user; pooled, six families)","exact McNemar, two-sided",59.7 % vs 62.6 % (diff -2.9 pp),95% CI -4.4 to -1.5 pp,0.000176309,1138 pairs (21 vs 54 discordant),p < .05 and q4_K_M higher,no,q4_K_M flips more than fp16 (user),exact McNemar,"59.7 vs 62.6 % (-2.9 pp), p < .001"
H1b,q8_0 and fp16 equivalent (user; pooled),paired bootstrap 90% CI (TOST),diff -0.4 pp,90% CI -1.1 to +0.3 pp,,1193 pairs,CI inside ±3 pp,yes,q8_0 ≈ fp16 within ±3 pp (user),"paired bootstrap, 90% CI","-0.4 pp [-1.1, +0.3]"
H2a,speaker_free flips more than reask,"exact McNemar per configuration, Holm","higher in 15 of 18 configurations, lower in 3",,,18 configurations,significant and higher in most configurations,yes,speaker-free flips more than re-ask,"McNemar per config., Holm","higher in 15/18, lower in 3 (p_Holm < .05)"
H2b,precision x condition interaction,"GEE (item clusters), joint Wald, Holm",,,0.000163773,,interaction significant (Holm),yes,precision × follow-up interaction,"GEE, joint Wald, Holm",p_Holm < .001
H3a,turn-1 confidence predicts holding,"AUROC, item bootstrap",AUROC 0.63,95% CI 0.62 to 0.65,,14380 turn-2 answers,AUROC > 0.70 and CI above 0.5,no,turn-1 confidence predicts holding,"AUROC > .70, bootstrap","AUROC 0.63 [0.62, 0.65]"
H3b,turn-1 confidence lower at q4_K_M than fp16,"Wilcoxon signed-rank, Holm; bootstrap",mean diff -0.0038,95% CI -0.0078 to +0.0004,0.000468927,1138 pairs,CI below 0 and p < .05,no,confidence lower at q4_K_M than fp16,"Wilcoxon, Holm; bootstrap","-0.0038 [-0.0078, +0.0004], p_Holm < .001"
H3c,"q4_K_M effect shrinks once log c0 is included (guidelines, not README)",GEE with and without log c0,q4_K_M coef 0.525 -> 0.525,,,,coefficient shrinks (no threshold fixed),n/a,q4_K_M effect shrinks with log c0,GEE ± log c0,coefficient 0.525 → 0.525
Validity,first-token letter agrees with text letter,Cohen's kappa per configuration and turn,kappa 0.986 to 1.000,mismatch 1.0 % at most,,36 configuration x turn,"reported, no threshold",n/a,first-token letter = text letter,Cohen's κ per config.,κ ≥ 0.986; mismatch ≤ 1.0 %
