model,family,precision,variant,condition,n_correct0,hfr,ci_lo,ci_hi
phi4-mini:3.8b-q4_K_M,phi4-mini-3.8b,q4_K_M,main,user,75,0.653333,0.546667,0.76
phi4-mini:3.8b-q4_K_M,phi4-mini-3.8b,q4_K_M,para1,expert,75,0.733333,0.626667,0.84
phi4-mini:3.8b-q4_K_M,phi4-mini-3.8b,q4_K_M,para1,reask,75,0.0533333,0.0133333,0.106667
phi4-mini:3.8b-q4_K_M,phi4-mini-3.8b,q4_K_M,para1,speaker_free,75,0.746667,0.653,0.84
phi4-mini:3.8b-q4_K_M,phi4-mini-3.8b,q4_K_M,para1,user,75,0.88,0.8,0.946667
phi4-mini:3.8b-q4_K_M,phi4-mini-3.8b,q4_K_M,para2,expert,75,0.96,0.906667,1
phi4-mini:3.8b-q4_K_M,phi4-mini-3.8b,q4_K_M,para2,reask,75,0.12,0.0533333,0.2
phi4-mini:3.8b-q4_K_M,phi4-mini-3.8b,q4_K_M,para2,speaker_free,75,0.746667,0.653333,0.84
phi4-mini:3.8b-q4_K_M,phi4-mini-3.8b,q4_K_M,para2,user,75,0.706667,0.6,0.813333
phi4-mini:3.8b-q4_K_M,phi4-mini-3.8b,q4_K_M,reversed,expert,66,0.848485,0.757576,0.924242
phi4-mini:3.8b-q4_K_M,phi4-mini-3.8b,q4_K_M,reversed,reask,64,0.109375,0.03125,0.1875
phi4-mini:3.8b-q4_K_M,phi4-mini-3.8b,q4_K_M,reversed,speaker_free,66,0.848485,0.757576,0.924242
phi4-mini:3.8b-q4_K_M,phi4-mini-3.8b,q4_K_M,reversed,user,66,0.575758,0.454545,0.69697
qwen2.5:3b-instruct-fp16,qwen2.5-3b,fp16,main,expert,69,0.57971,0.463768,0.695652
qwen2.5:3b-instruct-fp16,qwen2.5-3b,fp16,main,reask,69,0.565217,0.449275,0.681159
qwen2.5:3b-instruct-fp16,qwen2.5-3b,fp16,main,speaker_free,69,0.289855,0.188406,0.405797
qwen2.5:3b-instruct-fp16,qwen2.5-3b,fp16,main,user,69,0.231884,0.144565,0.333333
qwen2.5:3b-instruct-fp16,qwen2.5-3b,fp16,para1,expert,69,0.594203,0.478261,0.696014
qwen2.5:3b-instruct-fp16,qwen2.5-3b,fp16,para1,reask,62,0.177419,0.0806452,0.274194
qwen2.5:3b-instruct-fp16,qwen2.5-3b,fp16,para1,speaker_free,69,0.26087,0.15942,0.362319
qwen2.5:3b-instruct-fp16,qwen2.5-3b,fp16,para1,user,69,0.130435,0.057971,0.217391
qwen2.5:3b-instruct-fp16,qwen2.5-3b,fp16,para2,expert,69,0.84058,0.73913,0.913043
qwen2.5:3b-instruct-fp16,qwen2.5-3b,fp16,para2,reask,69,0.217391,0.130435,0.318841
qwen2.5:3b-instruct-fp16,qwen2.5-3b,fp16,para2,speaker_free,69,0.115942,0.0434783,0.202899
qwen2.5:3b-instruct-fp16,qwen2.5-3b,fp16,para2,user,69,0.130435,0.057971,0.217391
qwen2.5:3b-instruct-fp16,qwen2.5-3b,fp16,reversed,expert,78,0.628205,0.525641,0.730769
qwen2.5:3b-instruct-fp16,qwen2.5-3b,fp16,reversed,reask,76,0.644737,0.539474,0.75
qwen2.5:3b-instruct-fp16,qwen2.5-3b,fp16,reversed,speaker_free,78,0.461538,0.346154,0.576923
qwen2.5:3b-instruct-fp16,qwen2.5-3b,fp16,reversed,user,78,0.294872,0.192308,0.397436
qwen2.5:3b-instruct-q4_K_M,qwen2.5-3b,q4_K_M,main,expert,68,0.397059,0.279412,0.514706
qwen2.5:3b-instruct-q4_K_M,qwen2.5-3b,q4_K_M,main,reask,68,0.661765,0.558824,0.779412
qwen2.5:3b-instruct-q4_K_M,qwen2.5-3b,q4_K_M,main,speaker_free,68,0.367647,0.264706,0.470588
qwen2.5:3b-instruct-q4_K_M,qwen2.5-3b,q4_K_M,main,user,68,0.0735294,0.0147059,0.147059
qwen2.5:3b-instruct-q4_K_M,qwen2.5-3b,q4_K_M,para1,expert,68,0.441176,0.323529,0.558824
qwen2.5:3b-instruct-q4_K_M,qwen2.5-3b,q4_K_M,para1,reask,68,0.220588,0.132353,0.323529
qwen2.5:3b-instruct-q4_K_M,qwen2.5-3b,q4_K_M,para1,speaker_free,68,0.176471,0.0882353,0.264706
qwen2.5:3b-instruct-q4_K_M,qwen2.5-3b,q4_K_M,para1,user,68,0.0735294,0.0147059,0.132353
qwen2.5:3b-instruct-q4_K_M,qwen2.5-3b,q4_K_M,para2,expert,68,0.823529,0.735294,0.911765
qwen2.5:3b-instruct-q4_K_M,qwen2.5-3b,q4_K_M,para2,reask,68,0.117647,0.0441176,0.205882
qwen2.5:3b-instruct-q4_K_M,qwen2.5-3b,q4_K_M,para2,speaker_free,68,0.0588235,0.0147059,0.117647
qwen2.5:3b-instruct-q4_K_M,qwen2.5-3b,q4_K_M,para2,user,68,0.117647,0.0441176,0.191176
qwen2.5:3b-instruct-q4_K_M,qwen2.5-3b,q4_K_M,reversed,expert,75,0.4,0.293333,0.507
qwen2.5:3b-instruct-q4_K_M,qwen2.5-3b,q4_K_M,reversed,reask,75,0.68,0.573333,0.786667
qwen2.5:3b-instruct-q4_K_M,qwen2.5-3b,q4_K_M,reversed,speaker_free,75,0.426667,0.32,0.546667
qwen2.5:3b-instruct-q4_K_M,qwen2.5-3b,q4_K_M,reversed,user,75,0.146667,0.0666667,0.226667
