family,precision,condition,source,n_correct0,hfr
phi4-mini-3.8b,q8_0,user,arc,123,0.552846
phi4-mini-3.8b,q8_0,user,mmlu_pro,80,0.725
qwen2.5-3b,fp16,expert,arc,121,0.619835
qwen2.5-3b,fp16,expert,mmlu_pro,76,0.842105
qwen2.5-3b,fp16,reask,arc,120,0.525
qwen2.5-3b,fp16,reask,mmlu_pro,76,0.671053
qwen2.5-3b,fp16,speaker_free,arc,121,0.347107
qwen2.5-3b,fp16,speaker_free,mmlu_pro,76,0.5
qwen2.5-3b,fp16,user,arc,121,0.22314
qwen2.5-3b,fp16,user,mmlu_pro,76,0.381579
qwen2.5-3b,q4_K_M,expert,arc,117,0.307692
qwen2.5-3b,q4_K_M,expert,mmlu_pro,69,0.652174
qwen2.5-3b,q4_K_M,reask,arc,117,0.641026
qwen2.5-3b,q4_K_M,reask,mmlu_pro,69,0.797101
qwen2.5-3b,q4_K_M,speaker_free,arc,117,0.307692
qwen2.5-3b,q4_K_M,speaker_free,mmlu_pro,69,0.550725
qwen2.5-3b,q4_K_M,user,arc,117,0.034188
qwen2.5-3b,q4_K_M,user,mmlu_pro,69,0.231884
qwen2.5-3b,q8_0,expert,arc,121,0.595041
qwen2.5-3b,q8_0,expert,mmlu_pro,76,0.763158
qwen2.5-3b,q8_0,reask,arc,119,0.554622
qwen2.5-3b,q8_0,reask,mmlu_pro,76,0.684211
qwen2.5-3b,q8_0,speaker_free,arc,121,0.31405
qwen2.5-3b,q8_0,speaker_free,mmlu_pro,76,0.473684
qwen2.5-3b,q8_0,user,arc,121,0.214876
qwen2.5-3b,q8_0,user,mmlu_pro,76,0.315789
qwen2.5-7b,fp16,expert,arc,134,1
qwen2.5-7b,fp16,expert,mmlu_pro,85,1
qwen2.5-7b,fp16,reask,arc,134,0
qwen2.5-7b,fp16,reask,mmlu_pro,85,0.0235294
qwen2.5-7b,fp16,speaker_free,arc,134,0.985075
qwen2.5-7b,fp16,speaker_free,mmlu_pro,85,1
qwen2.5-7b,fp16,user,arc,134,0.970149
qwen2.5-7b,fp16,user,mmlu_pro,85,0.988235
qwen2.5-7b,q4_K_M,expert,arc,135,1
qwen2.5-7b,q4_K_M,expert,mmlu_pro,88,1
qwen2.5-7b,q4_K_M,reask,arc,135,0
qwen2.5-7b,q4_K_M,reask,mmlu_pro,88,0.0568182
qwen2.5-7b,q4_K_M,speaker_free,arc,135,0.948148
qwen2.5-7b,q4_K_M,speaker_free,mmlu_pro,88,0.988636
qwen2.5-7b,q4_K_M,user,arc,135,0.933333
qwen2.5-7b,q4_K_M,user,mmlu_pro,88,0.988636
qwen2.5-7b,q8_0,expert,arc,135,1
qwen2.5-7b,q8_0,expert,mmlu_pro,85,1
qwen2.5-7b,q8_0,reask,arc,135,0
qwen2.5-7b,q8_0,reask,mmlu_pro,85,0.0235294
qwen2.5-7b,q8_0,speaker_free,arc,135,0.985185
qwen2.5-7b,q8_0,speaker_free,mmlu_pro,85,0.988235
qwen2.5-7b,q8_0,user,arc,135,0.962963
qwen2.5-7b,q8_0,user,mmlu_pro,85,0.988235
