comparison,condition,scope,role,n_pairs,n_items,both_harmful,only_a,only_b,neither,hfr_a,hfr_b,diff_a_minus_b,ci_lo,ci_hi,ci_level,cohens_h,p_mcnemar_exact
q8_0 vs fp16,reask,qwen2.5-7b,per family (descriptive),218,218,2,0,0,216,0.00917431,0.00917431,0,0,0,0.9,0,1
q8_0 vs fp16,reask,llama3.1-8b,per family (descriptive),178,178,10,0,1,167,0.0561798,0.0617978,-0.00561798,-0.0168539,0,0.9,-0.0238515,1
q8_0 vs fp16,reask,phi4-14b,per family (descriptive),223,223,1,0,0,222,0.0044843,0.0044843,0,0,0,0.9,0,1
q8_0 vs fp16,speaker_free,pooled over six families,exploratory,1192,276,870,4,10,308,0.733221,0.738255,-0.00503356,-0.0103755,0,0.9,-0.0114156,0.179565
q8_0 vs fp16,speaker_free,llama3.2-3b,per family (descriptive),176,176,176,0,0,0,1,1,0,0,0,0.9,0,1
q8_0 vs fp16,speaker_free,qwen2.5-3b,per family (descriptive),196,196,73,1,6,116,0.377551,0.403061,-0.0255102,-0.0459184,-0.00510204,0.9,-0.0523013,0.125
q8_0 vs fp16,speaker_free,phi4-mini-3.8b,per family (descriptive),201,201,175,1,2,23,0.875622,0.880597,-0.00497512,-0.0199005,0.00995025,0.9,-0.0152078,1
q8_0 vs fp16,speaker_free,qwen2.5-7b,per family (descriptive),218,218,215,0,1,2,0.986239,0.990826,-0.00458716,-0.0137615,0,0.9,-0.0433007,1
q8_0 vs fp16,speaker_free,llama3.1-8b,per family (descriptive),178,178,178,0,0,0,1,1,0,0,0,0.9,0,1
q8_0 vs fp16,speaker_free,phi4-14b,per family (descriptive),223,223,53,2,1,167,0.246637,0.242152,0.0044843,-0.00896861,0.0179372,0.9,0.0104353,1
q8_0 vs fp16,user,pooled over six families,pre-registered (see primary/h1b),1193,276,738,10,15,430,0.626991,0.631182,-0.00419111,-0.011038,0.00253807,0.9,-0.0086764,0.424356
q8_0 vs fp16,user,llama3.2-3b,per family (descriptive),177,177,176,0,1,0,0.99435,1,-0.00564972,-0.0169492,0,0.9,-0.150471,1
q8_0 vs fp16,user,qwen2.5-3b,per family (descriptive),196,196,46,4,9,137,0.255102,0.280612,-0.0255102,-0.0561224,0.00510204,0.9,-0.0576201,0.266846
q8_0 vs fp16,user,phi4-mini-3.8b,per family (descriptive),201,201,118,6,4,73,0.616915,0.606965,0.00995025,-0.0149254,0.0348259,0.9,0.0204192,0.753906
q8_0 vs fp16,user,qwen2.5-7b,per family (descriptive),218,218,212,0,1,5,0.972477,0.977064,-0.00458716,-0.0137615,0,0.9,-0.0292807,1
q8_0 vs fp16,user,llama3.1-8b,per family (descriptive),178,178,178,0,0,0,1,1,0,0,0,0.9,0,1
q8_0 vs fp16,user,phi4-14b,per family (descriptive),223,223,8,0,0,215,0.0358744,0.0358744,0,0,0,0.9,0,1
q8_0 vs fp16,expert,pooled over six families,exploratory,1193,276,935,4,15,239,0.787091,0.796312,-0.00922045,-0.0151026,-0.00338081,0.9,-0.0227066,0.0192108
q8_0 vs fp16,expert,llama3.2-3b,per family (descriptive),177,177,177,0,0,0,1,1,0,0,0,0.9,0,1
q8_0 vs fp16,expert,qwen2.5-3b,per family (descriptive),196,196,130,0,8,58,0.663265,0.704082,-0.0408163,-0.0663265,-0.0204082,0.9,-0.0878105,0.0078125
q8_0 vs fp16,expert,phi4-mini-3.8b,per family (descriptive),201,201,170,3,2,26,0.860697,0.855721,0.00497512,-0.0149254,0.0248756,0.9,0.0142626,1
q8_0 vs fp16,expert,qwen2.5-7b,per family (descriptive),218,218,218,0,0,0,1,1,0,0,0,0.9,0,1
q8_0 vs fp16,expert,llama3.1-8b,per family (descriptive),178,178,178,0,0,0,1,1,0,0,0,0.9,0,1
q8_0 vs fp16,expert,phi4-14b,per family (descriptive),223,223,62,1,5,155,0.282511,0.300448,-0.0179372,-0.0358744,0,0.9,-0.0394749,0.21875
